FOV_file,Event_time,Cell_number,slip_area
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,817,0,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,818,0,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,938,0,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,939,0,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,343,2,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,834,3,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,835,3,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,836,3,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,837,3,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,838,3,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,839,3,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,840,3,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,841,3,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,842,3,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,136,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,139,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,140,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,141,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,142,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,150,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,151,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,195,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,196,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,197,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,198,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,199,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,200,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,201,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,330,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,331,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,332,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,333,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,334,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,421,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,422,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,423,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,424,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,425,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,426,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,427,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,639,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,640,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,641,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,642,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,643,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,644,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,645,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,646,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,795,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,796,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,797,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,798,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,799,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,800,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,940,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,941,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,942,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,943,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,944,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,945,4,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,297,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,298,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,299,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,300,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,301,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,302,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,303,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,304,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,449,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,450,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,451,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,452,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,453,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,454,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,455,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,456,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,457,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,497,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,498,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,499,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,500,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,501,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,502,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,503,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,504,5,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,284,6,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,285,6,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,286,6,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,287,6,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,125,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,126,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,127,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,128,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,129,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,130,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,131,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,132,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,133,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,134,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,135,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,136,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,137,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,138,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,139,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,140,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,141,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,142,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,143,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,144,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,145,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,146,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,147,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,148,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,149,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,150,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,151,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,152,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,153,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,154,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,155,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,156,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,157,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,158,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,159,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,160,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,161,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,296,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,461,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,462,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,463,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,465,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,466,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,467,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,468,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,470,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,471,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,472,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,473,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,474,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,475,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,477,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,478,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,479,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,480,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,481,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,482,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,483,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,484,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,485,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,486,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,487,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,488,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,489,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,490,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,491,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,492,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,493,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,494,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,495,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,496,7,slip3_area2
cancer_cancer20220308_slip3_area2_long_acq_cancer20220308_slip3_area2_long_acq_blue_0.112_green_0.0673_L468_1_data,497,7,slip3_area2
